AccountNumber,Usagedate,Value,Meternumber
0401740-1725,2/15/2022,15,0401740-10450-1
0401740-1725,12/16/2019,13,0401740-10450-1
0401740-1725,10/13/2020,18,0401740-10450-1
0401740-1725,4/13/2021,15,0401740-10450-1
0405800-661521,8/16/2021,21,0405800-10450-1
0405800-661521,10/12/2021,18,0405800-10450-1
0405800-661521,4/13/2021,21,0405800-10450-1
0405800-661521,4/12/2022,20,0405800-10450-1
0405800-661521,6/14/2021,12,0405800-10450-1
0403120-578380,6/14/2021,12,0403120-10450-1
0405800-661521,2/15/2022,23,0405800-10450-1
0403120-578380,2/12/2019,18,0403120-10450-1
0403120-578380,4/15/2019,17,0403120-10450-1
0403120-578380,12/16/2019,22,0403120-10450-1
0403120-578380,4/13/2021,17,0403120-10450-1
0403120-578380,2/15/2022,16,0403120-10450-1
0550840-32048,10/13/2020,19,0550840-10450-1
0550840-32048,2/12/2019,19,0550840-10450-1
0550840-32048,8/14/2019,19,0550840-10450-1
0550840-32048,10/15/2019,20,0550840-10450-1
0550840-32048,12/16/2019,20,0550840-10450-1
0550840-32048,2/12/2020,19,0550840-10450-1
0550840-32048,8/17/2020,20,0550840-10450-1
0550840-32048,2/16/2021,17,0550840-10450-1
0601540-31504,10/15/2019,16,0601540-10450-1
0601540-31504,6/15/2020,14,0601540-10450-1
0601540-31504,8/17/2020,24,0601540-10450-1
0601540-31504,2/16/2021,16,0601540-10450-1
0601540-31504,4/13/2022,15,0601540-10450-1
0601540-31504,12/16/2019,23,0601540-10450-1
0601540-31504,6/14/2021,16,0601540-10450-1
0601540-31504,12/15/2021,12,0601540-10450-1
0601540-31504,4/14/2020,15,0601540-10450-1
0601540-31504,10/13/2020,18,0601540-10450-1
0601540-31504,8/16/2021,16,0601540-10450-1
0550840-32048,4/13/2022,18,0550840-10450-1
0650640-135726,8/17/2020,19,0650640-10450-1
0650640-135726,12/15/2020,6,0650640-10450-1
0650640-135726,4/13/2021,15,0650640-10450-1
0601540-31504,4/13/2021,17,0601540-10450-1
0550840-32048,4/13/2021,16,0550840-10450-1
0550840-32048,2/15/2022,19,0550840-10450-1
0701540-418077,8/17/2020,12,0701540-10450-1
0701540-418077,10/13/2020,7,0701540-10450-1
0701540-418077,12/14/2021,14,0701540-10450-1
0701540-418077,4/15/2019,35,0701540-10450-1
0701540-418077,6/14/2021,10,0701540-10450-1
0701540-418077,8/16/2021,7,0701540-10450-1
0701540-418077,4/12/2022,15,0701540-10450-1
0701540-418077,12/15/2020,15,0701540-10450-1
0701540-418077,2/16/2021,9,0701540-10450-1
0701540-418077,4/13/2021,11,0701540-10450-1
0650640-135726,4/15/2019,12,0650640-10450-1
0650640-135726,8/14/2019,11,0650640-10450-1
0650640-135726,10/15/2019,15,0650640-10450-1
0701540-418077,4/14/2020,11,0701540-10450-1
0701540-418077,6/17/2019,23,0701540-10450-1
0701540-418077,8/14/2019,24,0701540-10450-1
0802140-505590,4/15/2019,8,0802140-10450-1
0802140-505590,10/15/2019,4,0802140-10450-1
0802140-505590,12/15/2020,10,0802140-10450-1
0754600-1150,8/16/2021,18,0754600-10450-1
0754600-1150,12/14/2021,12,0754600-10450-1
0754600-1150,2/15/2022,13,0754600-10450-1
0800040-126095,2/12/2020,82,0800040-10450-1
0800040-126095,2/16/2021,97,0800040-10450-1
0800040-126095,4/13/2021,64,0800040-10450-1
0754220-1205,2/12/2020,2,0754220-10450-1
0701540-418077,2/12/2019,26,0701540-10450-1
0701540-418077,2/12/2020,12,0701540-10450-1
0701540-418077,2/15/2022,10,0701540-10450-1
0754220-1205,6/15/2020,3,0754220-10450-1
0754220-1205,8/17/2020,3,0754220-10450-1
0754220-1205,12/15/2020,2,0754220-10450-1
0754220-1205,6/14/2021,3,0754220-10450-1
0754220-1205,8/16/2021,2,0754220-10450-1
0754220-1205,10/12/2021,2,0754220-10450-1
0754220-1205,10/15/2019,3,0754220-10450-1
0202320-657225,10/15/2019,7,0202320-10450-1
0202320-657225,2/16/2021,20,0202320-10450-1
0202320-657225,6/14/2021,19,0202320-10450-1
0202320-657225,8/16/2021,9,0202320-10450-1
0202320-657225,12/14/2021,20,0202320-10450-1
0204040-657296,12/14/2021,21,0204040-10450-1
0204040-657296,10/15/2019,18,0204040-10450-1
0204040-657296,2/12/2020,10,0204040-10450-1
0204040-657296,4/14/2020,10,0204040-10450-1
0204040-657296,10/12/2021,30,0204040-10450-1
0204040-657296,2/16/2021,12,0204040-10450-1
0204040-657296,2/15/2022,23,0204040-10450-1
0202320-657225,4/13/2021,21,0202320-10450-1
0202320-657225,12/16/2019,10,0202320-10450-1
0204040-657296,12/16/2019,5,0204040-10450-1
0204040-657296,8/17/2020,19,0204040-10450-1
0204040-657296,6/14/2021,12,0204040-10450-1
0204040-657296,6/15/2020,17,0204040-10450-1
0204040-657296,10/13/2020,14,0204040-10450-1
0204040-657296,12/15/2020,20,0204040-10450-1
0204040-657296,4/13/2021,8,0204040-10450-1
0204040-657296,8/16/2021,16,0204040-10450-1
0202320-657225,8/14/2019,6,0202320-10450-1
0202320-657225,4/14/2020,15,0202320-10450-1
0202320-657225,10/12/2021,23,0202320-10450-1
0204040-657296,4/12/2022,21,0204040-10450-1
0350060-660237,8/17/2020,0,0350060-10450-1
0350060-660237,4/13/2021,-3,0350060-10450-1
0350060-660237,6/14/2021,27,0350060-10450-1
0403120-578380,6/15/2020,17,0403120-10450-1
0403120-578380,12/14/2021,15,0403120-10450-1
0350060-660237,10/13/2020,23,0350060-10450-1
0350060-660237,8/16/2021,23,0350060-10450-1
0350060-660237,10/12/2021,13,0350060-10450-1
0401740-1725,2/12/2019,0,0401740-10450-1
0401740-1725,8/17/2020,24,0401740-10450-1
0401740-1725,8/16/2021,28,0401740-10450-1
0401740-1725,10/12/2021,15,0401740-10450-1
0401740-1725,12/14/2021,15,0401740-10450-1
0401740-1725,4/12/2022,17,0401740-10450-1
0401740-1725,8/14/2019,13,0401740-10450-1
0401740-1725,2/12/2020,1,0401740-10450-1
0401740-1725,6/17/2019,3,0401740-10450-1
0401740-1725,10/15/2019,15,0401740-10450-1
0401740-1725,12/15/2020,17,0401740-10450-1
0403120-578380,2/16/2021,20,0403120-10450-1
0403120-578380,4/14/2020,14,0403120-10450-1
0403120-578380,12/15/2020,17,0403120-10450-1
0403120-578380,8/16/2021,18,0403120-10450-1
0403120-578380,8/14/2019,39,0403120-10450-1
0403120-578380,10/12/2021,18,0403120-10450-1
0403120-578380,8/17/2020,18,0403120-10450-1
0403120-578380,10/13/2020,19,0403120-10450-1
0405800-661521,2/16/2021,7,0405800-10450-1
0405800-661521,12/14/2021,20,0405800-10450-1
0550840-32048,6/17/2019,20,0550840-10450-1
0550840-32048,4/14/2020,17,0550840-10450-1
0550840-32048,6/15/2020,19,0550840-10450-1
0550840-32048,6/14/2021,23,0550840-10450-1
0550840-32048,8/16/2021,19,0550840-10450-1
0550840-32048,12/15/2021,18,0550840-10450-1
0550840-32048,12/15/2020,18,0550840-10450-1
0550840-32048,10/13/2021,22,0550840-10450-1
0550840-32048,4/15/2019,17,0550840-10450-1
0601540-31504,2/12/2019,16,0601540-10450-1
0601540-31504,4/15/2019,14,0601540-10450-1
0601540-31504,8/14/2019,16,0601540-10450-1
0650640-135726,6/17/2019,17,0650640-10450-1
0650640-135726,6/14/2021,12,0650640-10450-1
0650640-135726,12/15/2021,17,0650640-10450-1
0650640-135726,4/14/2020,14,0650640-10450-1
0650640-135726,10/13/2020,40,0650640-10450-1
0650640-135726,8/16/2021,17,0650640-10450-1
0650640-135726,10/13/2021,20,0650640-10450-1
0650640-135726,2/16/2021,15,0650640-10450-1
0650640-135726,2/15/2022,18,0650640-10450-1
0650640-135726,4/13/2022,14,0650640-10450-1
0650640-135726,2/12/2019,15,0650640-10450-1
0650640-135726,12/16/2019,16,0650640-10450-1
0650640-135726,2/12/2020,10,0650640-10450-1
0650640-135726,6/15/2020,14,0650640-10450-1
0701540-418077,10/15/2019,26,0701540-10450-1
0701540-418077,12/16/2019,21,0701540-10450-1
0701540-418077,6/15/2020,10,0701540-10450-1
0701540-418077,10/12/2021,29,0701540-10450-1
0601540-31504,6/17/2019,23,0601540-10450-1
0601540-31504,10/13/2021,15,0601540-10450-1
0601540-31504,2/12/2020,16,0601540-10450-1
0601540-31504,12/15/2020,16,0601540-10450-1
0601540-31504,2/15/2022,16,0601540-10450-1
0754220-1205,8/14/2019,5,0754220-10450-1
0754600-1150,10/15/2019,8,0754600-10450-1
0754600-1150,12/16/2019,13,0754600-10450-1
0800040-126095,2/12/2019,38,0800040-10450-1
0800040-126095,12/15/2020,94,0800040-10450-1
0802140-505590,10/12/2021,9,0802140-10450-1
0802140-505590,12/14/2021,5,0802140-10450-1
0802140-505590,2/12/2019,5,0802140-10450-1
0802140-505590,6/17/2019,6,0802140-10450-1
0802140-505590,2/12/2020,0,0802140-10450-1
0802140-505590,4/13/2021,9,0802140-10450-1
0802140-505590,8/16/2021,9,0802140-10450-1
0802140-505590,6/15/2020,3,0802140-10450-1
0802140-505590,2/16/2021,8,0802140-10450-1
0802140-505590,2/15/2022,3,0802140-10450-1
0802140-505590,4/14/2020,8,0802140-10450-1
0803400-565296,2/12/2019,52,0803400-10450-1
0803400-565296,8/14/2019,7,0803400-10450-1
0803400-565296,2/12/2020,8,0803400-10450-1
0803400-565296,8/17/2020,14,0803400-10450-1
0803400-565296,12/15/2020,11,0803400-10450-1
0803400-565296,10/12/2021,13,0803400-10450-1
0803400-565296,10/13/2020,14,0803400-10450-1
0803740-11458,10/12/2021,12,0803740-10450-1
0803740-11458,12/14/2021,10,0803740-10450-1
0803740-11458,10/15/2019,10,0803740-10450-1
0803400-565296,4/14/2020,11,0803400-10450-1
0803400-565296,2/15/2022,12,0803400-10450-1
0850720-4446,2/12/2019,4,0850720-10450-1
0754220-1205,4/12/2022,3,0754220-10450-1
0754220-1205,12/16/2019,2,0754220-10450-1
0754220-1205,4/14/2020,4,0754220-10450-1
0754600-1150,8/14/2019,18,0754600-10450-1
0754600-1150,6/15/2020,19,0754600-10450-1
0803400-565296,12/14/2021,11,0803400-10450-1
0754600-1150,4/15/2019,13,0754600-10450-1
0754600-1150,10/13/2020,17,0754600-10450-1
0800040-126095,6/17/2019,78,0800040-10450-1
0800040-126095,8/14/2019,77,0800040-10450-1
0800040-126095,6/14/2021,82,0800040-10450-1
0800040-126095,10/12/2021,124,0800040-10450-1
0754220-1205,6/17/2019,6,0754220-10450-1
0754220-1205,2/16/2021,2,0754220-10450-1
0754220-1205,2/15/2022,2,0754220-10450-1
0803740-11458,4/15/2019,5,0803740-10450-1
0803740-11458,2/12/2020,11,0803740-10450-1
0803740-11458,4/14/2020,5,0803740-10450-1
0803740-11458,4/12/2022,4,0803740-10450-1
0800040-126095,10/15/2019,71,0800040-10450-1
0754600-1150,2/12/2020,12,0754600-10450-1
0800040-126095,12/16/2019,77,0800040-10450-1
0800040-126095,8/16/2021,112,0800040-10450-1
0800040-126095,12/14/2021,86,0800040-10450-1
0754600-1150,4/14/2020,16,0754600-10450-1
0754600-1150,2/16/2021,17,0754600-10450-1
0754600-1150,4/13/2021,18,0754600-10450-1
0754600-1150,10/12/2021,17,0754600-10450-1
0754600-1150,4/12/2022,11,0754600-10450-1
0800040-126095,4/15/2019,72,0800040-10450-1
0850720-4446,6/17/2019,7,0850720-10450-1
0850720-4446,10/15/2019,4,0850720-10450-1
0850720-4446,2/12/2020,5,0850720-10450-1
0850720-4446,4/14/2020,4,0850720-10450-1
0802140-505590,8/17/2020,5,0802140-10450-1
0754600-1150,8/17/2020,12,0754600-10450-1
0754220-1205,10/13/2020,3,0754220-10450-1
0754220-1205,4/13/2021,3,0754220-10450-1
0850720-4446,8/17/2020,2,0850720-10450-1
0850720-4446,4/12/2022,4,0850720-10450-1
0800040-126095,4/14/2020,74,0800040-10450-1
0800040-126095,8/17/2020,92,0800040-10450-1
0800040-126095,4/12/2022,85,0800040-10450-1
0850720-4446,6/15/2020,5,0850720-10450-1
0850720-4446,12/15/2020,4,0850720-10450-1
0850720-4446,10/13/2021,5,0850720-10450-1
0754600-1150,2/12/2019,16,0754600-10450-1
0754600-1150,6/17/2019,11,0754600-10450-1
0754600-1150,12/15/2020,16,0754600-10450-1
0754600-1150,6/14/2021,13,0754600-10450-1
0800040-126095,6/15/2020,40,0800040-10450-1
0800040-126095,10/13/2020,110,0800040-10450-1
0800040-126095,2/15/2022,78,0800040-10450-1
0802140-505590,8/14/2019,8,0802140-10450-1
0802140-505590,10/13/2020,8,0802140-10450-1
0802140-505590,12/16/2019,5,0802140-10450-1
0802140-505590,6/14/2021,10,0802140-10450-1
0802140-505590,4/12/2022,6,0802140-10450-1
0952780-661726,4/12/2022,20,0952780-10450-1
1051164-111764,2/12/2020,3,1051164-10450-1
1051164-111764,10/13/2020,36,1051164-10450-1
1051164-111764,12/14/2021,10,1051164-10450-1
0952780-661726,4/13/2021,0,0952780-10450-1
0952780-661726,10/13/2021,14,0952780-10450-1
0952780-661726,6/14/2021,30,0952780-10450-1
0952780-661726,8/16/2021,14,0952780-10450-1
1003610-655484,2/12/2019,5,1003610-10450-1
1003610-655484,6/14/2021,9,1003610-10450-1
1003610-655484,8/16/2021,3,1003610-10450-1
1051164-111764,10/15/2019,7,1051164-10450-1
1051164-111764,12/15/2020,27,1051164-10450-1
1051164-111764,8/16/2021,23,1051164-10450-1
1051164-111764,10/13/2021,10,1051164-10450-1
1051164-111764,4/14/2020,2,1051164-10450-1
1051164-111764,2/12/2019,4,1051164-10450-1
1051164-111764,4/15/2019,2,1051164-10450-1
1051164-111764,8/14/2019,6,1051164-10450-1
1051164-111764,6/15/2020,2,1051164-10450-1
1051164-111764,2/16/2021,8,1051164-10450-1
1051164-111764,4/13/2021,13,1051164-10450-1
1051164-111764,8/17/2020,21,1051164-10450-1
1051164-111764,4/12/2022,19,1051164-10450-1
0952780-661726,12/14/2021,15,0952780-10450-1
0952780-661726,2/15/2022,13,0952780-10450-1
1003610-655484,4/14/2020,1,1003610-10450-1
1003610-655484,12/14/2021,0,1003610-10450-1
1304740-572874,12/15/2020,6,1304740-10450-1
1304740-572874,10/12/2021,9,1304740-10450-1
1203360-564279,4/13/2021,5,1203360-10450-1
1203000-5278,2/12/2019,23,1203000-10450-1
1203000-5278,4/13/2021,61,1203000-10450-1
1203360-564279,10/15/2019,12,1203360-10450-1
1203360-564279,10/13/2020,21,1203360-10450-1
1203360-564279,6/14/2021,15,1203360-10450-1
1203360-564279,4/12/2022,5,1203360-10450-1
1203360-564279,2/15/2022,5,1203360-10450-1
1453540-7563,2/12/2019,19,1453540-10450-1
1453540-7563,6/17/2019,22,1453540-10450-1
1453540-7563,12/16/2019,25,1453540-10450-1
1453540-7563,8/17/2020,43,1453540-10450-1
1501000-475673,6/17/2019,12,1501000-10450-1
1501000-475673,10/15/2019,44,1501000-10450-1
1501000-475673,6/15/2020,19,1501000-10450-1
1501000-475673,10/13/2020,1,1501000-10450-1
1501000-475673,2/16/2021,21,1501000-10450-1
1501000-475673,4/13/2022,12,1501000-10450-1
1203000-5278,4/15/2019,20,1203000-10450-1
1203000-5278,8/14/2019,59,1203000-10450-1
1203000-5278,6/15/2020,72,1203000-10450-1
1203000-5278,2/15/2022,43,1203000-10450-1
1203360-564279,4/14/2020,9,1203360-10450-1
1203360-564279,8/17/2020,23,1203360-10450-1
1203360-564279,10/13/2021,36,1203360-10450-1
1203360-564279,12/14/2021,2,1203360-10450-1
1304740-572874,10/15/2019,10,1304740-10450-1
1304740-572874,2/12/2020,38,1304740-10450-1
1304740-572874,2/16/2021,30,1304740-10450-1
1503120-27416,10/13/2020,33,1503120-10450-1
1503120-27416,8/16/2021,28,1503120-10450-1
1453540-7563,10/15/2019,16,1453540-10450-1
0850720-4446,12/14/2021,5,0850720-10450-1
0850720-4446,8/16/2021,5,0850720-10450-1
0803740-11458,8/14/2019,18,0803740-10450-1
0803400-565296,12/16/2019,15,0803400-10450-1
0803400-565296,6/14/2021,6,0803400-10450-1
0803400-565296,8/16/2021,12,0803400-10450-1
0850720-4446,2/16/2021,4,0850720-10450-1
0850720-4446,4/13/2021,4,0850720-10450-1
0803740-11458,12/16/2019,12,0803740-10450-1
0803740-11458,6/15/2020,0,0803740-10450-1
0803740-11458,8/17/2020,11,0803740-10450-1
0803740-11458,12/15/2020,11,0803740-10450-1
0754220-1205,2/12/2019,5,0754220-10450-1
0754220-1205,4/15/2019,4,0754220-10450-1
0754220-1205,12/14/2021,2,0754220-10450-1
0803400-565296,6/17/2019,13,0803400-10450-1
0803400-565296,6/15/2020,11,0803400-10450-1
0803740-11458,2/12/2019,10,0803740-10450-1
0803740-11458,10/13/2020,16,0803740-10450-1
0803400-565296,4/15/2019,-20,0803400-10450-1
0803400-565296,10/15/2019,1,0803400-10450-1
0803400-565296,2/16/2021,12,0803400-10450-1
0803400-565296,4/13/2021,3,0803400-10450-1
0803400-565296,4/12/2022,11,0803400-10450-1
0803740-11458,6/17/2019,10,0803740-10450-1
0803740-11458,2/16/2021,12,0803740-10450-1
0803740-11458,4/13/2021,8,0803740-10450-1
0803740-11458,6/14/2021,5,0803740-10450-1
0803740-11458,8/16/2021,18,0803740-10450-1
0803740-11458,2/15/2022,8,0803740-10450-1
0850720-4446,10/13/2020,8,0850720-10450-1
0850720-4446,6/14/2021,4,0850720-10450-1
0850720-4446,4/15/2019,5,0850720-10450-1
0850720-4446,8/14/2019,6,0850720-10450-1
0850720-4446,12/16/2019,5,0850720-10450-1
0850720-4446,2/15/2022,4,0850720-10450-1
1003610-655484,6/17/2019,1,1003610-10450-1
1003610-655484,12/15/2020,2,1003610-10450-1
1003610-655484,2/16/2021,2,1003610-10450-1
1003610-655484,10/15/2019,0,1003610-10450-1
1003610-655484,10/13/2020,1,1003610-10450-1
1003610-655484,4/13/2021,5,1003610-10450-1
1003610-655484,4/15/2019,14,1003610-10450-1
1003610-655484,8/14/2019,7,1003610-10450-1
1003610-655484,8/17/2020,3,1003610-10450-1
1003610-655484,10/13/2021,1,1003610-10450-1
1003610-655484,12/16/2019,1,1003610-10450-1
1003610-655484,6/15/2020,1,1003610-10450-1
1003610-655484,4/12/2022,1,1003610-10450-1
1003610-655484,2/12/2020,0,1003610-10450-1
1003610-655484,2/15/2022,1,1003610-10450-1
1051164-111764,12/16/2019,7,1051164-10450-1
1051164-111764,2/15/2022,8,1051164-10450-1
1051164-111764,6/17/2019,7,1051164-10450-1
1203000-5278,6/14/2021,52,1203000-10450-1
1203000-5278,10/13/2021,91,1203000-10450-1
1203360-564279,12/16/2019,13,1203360-10450-1
1203360-564279,6/15/2020,16,1203360-10450-1
1203360-564279,12/15/2020,18,1203360-10450-1
1051164-111764,6/14/2021,18,1051164-10450-1
1203000-5278,2/12/2020,38,1203000-10450-1
1203000-5278,8/17/2020,100,1203000-10450-1
1203000-5278,10/13/2020,98,1203000-10450-1
1203000-5278,4/12/2022,45,1203000-10450-1
1203360-564279,8/14/2019,15,1203360-10450-1
1203360-564279,2/12/2020,6,1203360-10450-1
1203360-564279,2/16/2021,8,1203360-10450-1
1203000-5278,4/14/2020,36,1203000-10450-1
1203000-5278,8/16/2021,77,1203000-10450-1
1203360-564279,8/16/2021,25,1203360-10450-1
1203000-5278,12/15/2020,63,1203000-10450-1
1304740-572874,4/15/2019,10,1304740-10450-1
1304740-572874,4/14/2021,7,1304740-10450-1
1304740-572874,6/14/2021,90,1304740-10450-1
1304740-572874,8/16/2021,24,1304740-10450-1
1304740-572874,12/14/2021,7,1304740-10450-1
1203000-5278,6/17/2019,72,1203000-10450-1
1203000-5278,10/15/2019,65,1203000-10450-1
1203000-5278,12/16/2019,78,1203000-10450-1
1203000-5278,2/16/2021,61,1203000-10450-1
1203000-5278,12/14/2021,39,1203000-10450-1
1451200-8924,8/14/2019,11,1451200-10450-1
1451200-8924,4/14/2020,18,1451200-10450-1
1451200-8924,8/17/2020,16,1451200-10450-1
1451200-8924,12/15/2021,13,1451200-10450-1
1451200-8924,2/15/2022,21,1451200-10450-1
1451200-8924,4/13/2022,19,1451200-10450-1
1304740-572874,8/14/2019,10,1304740-10450-1
1304740-572874,6/15/2020,22,1304740-10450-1
1304740-572874,10/13/2020,9,1304740-10450-1
1304740-572874,4/12/2022,9,1304740-10450-1
1304740-572874,2/12/2019,12,1304740-10450-1
1304740-572874,12/16/2019,12,1304740-10450-1
1304740-572874,4/14/2020,26,1304740-10450-1
1304740-572874,8/17/2020,24,1304740-10450-1
1451200-8924,2/12/2019,16,1451200-10450-1
1451200-8924,8/16/2021,16,1451200-10450-1
1503120-27416,2/12/2020,17,1503120-10450-1
1503120-27416,6/14/2021,25,1503120-10450-1
1451200-8924,4/15/2019,10,1451200-10450-1
1451200-8924,6/15/2020,20,1451200-10450-1
1451200-8924,10/13/2020,12,1451200-10450-1
1451200-8924,10/13/2021,14,1451200-10450-1
1453540-7563,4/15/2019,15,1453540-10450-1
1453540-7563,2/12/2020,42,1453540-10450-1
1453540-7563,10/13/2020,52,1453540-10450-1
1751460-171829,12/16/2019,385,1751460-10450-1
1751460-171829,12/15/2020,53,1751460-10450-1
1451200-8924,10/15/2019,5,1451200-10450-1
1451200-8924,2/12/2020,10,1451200-10450-1
1451200-8924,12/15/2020,18,1451200-10450-1
1451200-8924,6/14/2021,20,1451200-10450-1
1503120-27416,8/14/2019,27,1503120-10450-1
1503120-27416,12/15/2020,26,1503120-10450-1
1501000-475673,4/14/2020,19,1501000-10450-1
1501000-475673,8/16/2021,19,1501000-10450-1
1501000-475673,8/14/2019,14,1501000-10450-1
1501000-475673,12/15/2021,11,1501000-10450-1
1501000-475673,2/15/2022,14,1501000-10450-1
1503120-27416,6/15/2020,25,1503120-10450-1
1503120-27416,2/15/2022,23,1503120-10450-1
1501000-475673,4/13/2021,21,1501000-10450-1
1304740-572874,6/17/2019,12,1304740-10450-1
1304740-572874,2/15/2022,68,1304740-10450-1
1501000-475673,2/12/2019,19,1501000-10450-1
1752600-579193,12/16/2019,32,1752600-10450-1
1501000-475673,12/16/2019,-16,1501000-10450-1
1501000-475673,2/12/2020,22,1501000-10450-1
1451200-8924,6/17/2019,20,1451200-10450-1
1451200-8924,12/16/2019,4,1451200-10450-1
1451200-8924,2/16/2021,23,1451200-10450-1
1453540-7563,6/14/2021,15,1453540-10450-1
1453540-7563,10/13/2021,18,1453540-10450-1
1453540-7563,12/15/2021,18,1453540-10450-1
1453540-7563,2/16/2021,26,1453540-10450-1
1453540-7563,2/15/2022,19,1453540-10450-1
1503120-27416,2/12/2019,19,1503120-10450-1
1503120-27416,4/15/2019,17,1503120-10450-1
1503120-27416,12/16/2019,26,1503120-10450-1
1503120-27416,8/17/2020,33,1503120-10450-1
1503120-27416,4/13/2021,22,1503120-10450-1
1501000-475673,6/14/2021,21,1501000-10450-1
1453540-7563,8/14/2019,22,1453540-10450-1
1453540-7563,12/15/2020,28,1453540-10450-1
1453540-7563,6/15/2020,48,1453540-10450-1
1453540-7563,8/16/2021,26,1453540-10450-1
1453540-7563,4/13/2022,14,1453540-10450-1
1501000-475673,4/15/2019,11,1501000-10450-1
1501000-475673,8/17/2020,23,1501000-10450-1
1501000-475673,12/15/2020,38,1501000-10450-1
1501000-475673,10/13/2021,13,1501000-10450-1
1453540-7563,4/14/2020,42,1453540-10450-1
1453540-7563,4/13/2021,15,1453540-10450-1
1751460-171829,6/17/2019,75,1751460-10450-1
1751460-171829,10/13/2020,81,1751460-10450-1
1751460-171829,12/15/2021,19,1751460-10450-1
1902800-651600,6/17/2019,38,1902800-10450-1
1902800-651600,12/16/2019,26,1902800-10450-1
1752600-579193,2/12/2019,33,1752600-10450-1
1752600-579193,12/15/2021,23,1752600-10450-1
1752600-579193,2/15/2022,26,1752600-10450-1
1751460-171829,8/14/2019,68,1751460-10450-1
1751460-171829,10/15/2019,74,1751460-10450-1
1902800-651600,4/14/2020,21,1902800-10450-1
1902800-651600,8/17/2020,25,1902800-10450-1
1902800-651600,10/13/2020,27,1902800-10450-1
1902800-651600,2/16/2021,30,1902800-10450-1
1902800-651600,4/13/2021,34,1902800-10450-1
1902800-651600,2/15/2022,24,1902800-10450-1
1902800-651600,8/16/2021,47,1902800-10450-1
1902800-651600,12/14/2021,26,1902800-10450-1
1902800-651600,6/15/2020,34,1902800-10450-1
1902800-651600,10/12/2021,35,1902800-10450-1
1902800-651600,2/12/2019,16,1902800-10450-1
1902800-651600,6/14/2021,27,1902800-10450-1
2151060-5650,4/13/2021,30,2151060-10450-1
2151060-5650,12/15/2021,14,2151060-10450-1
2151060-5650,4/13/2022,19,2151060-10450-1
1902800-651600,4/15/2019,21,1902800-10450-1
1902800-651600,8/14/2019,27,1902800-10450-1
1902800-651600,4/12/2022,39,1902800-10450-1
2101000-580998,10/15/2019,31,2101000-10450-1
2101000-580998,6/15/2020,13,2101000-10450-1
2101000-580998,8/16/2021,33,2101000-10450-1
2152860-653453,10/15/2019,40,2152860-10450-1
2152860-653453,12/15/2021,17,2152860-10450-1
2101000-580998,2/12/2020,20,2101000-10450-1
2101000-580998,4/13/2022,24,2101000-10450-1
2101000-580998,4/14/2020,14,2101000-10450-1
2101000-580998,8/17/2020,28,2101000-10450-1
2101000-580998,10/13/2021,30,2101000-10450-1
2101000-580998,2/15/2022,18,2101000-10450-1
2101000-580998,6/17/2019,18,2101000-10450-1
2101000-580998,12/15/2020,23,2101000-10450-1
2101000-580998,4/13/2021,28,2101000-10450-1
2151060-5650,8/14/2019,43,2151060-10450-1
2151580-3091,8/17/2020,11,2151580-10450-1
2151580-3091,4/13/2021,13,2151580-10450-1
2151740-652066,12/16/2019,6,2151740-10450-1
